place_id,name,state,lga,lat,lon,is_hub,place_type,loc_code,area_sqkm,source,source_objectid,official_name_raw,point_method,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m
qld_locality_4868,Lumholtz,QLD,Cassowary Coast Regional,-18.2894402,145.8996660,0,locality_representative_point,4868,432.594178,qld_admin_boundaries_locality_boundary,2185,Lumholtz,official_representative_point_no_graph_node_inside_locality,,-18.2894402,145.8996660,
qld_locality_4583,Lundavra,QLD,Goondiwindi Regional,-28.0977023,149.9872649,0,locality_road_representative_point,4583,566.419296,qld_admin_boundaries_locality_boundary,2269,Lundavra,road_node_inside_locality,1588662,-28.0909557,150.0008264,1733.2
qld_locality_1594,Luscombe,QLD,Gold Coast City,-27.7799786,153.1991972,0,locality_road_representative_point,1594,16.980314,qld_admin_boundaries_locality_boundary,2270,Luscombe,road_node_inside_locality,3767243,-27.7877497,153.2082579,1404.8
qld_locality_1595,Lutwyche,QLD,Brisbane City,-27.4204844,153.0342386,0,locality_road_representative_point,1595,0.932937,qld_admin_boundaries_locality_boundary,2271,Lutwyche,road_node_inside_locality,3545645,-27.4202332,153.0345640,48.0
qld_locality_5633,Lynam,QLD,Townsville City,-19.2385182,146.4064229,0,locality_road_representative_point,5633,180.059197,qld_admin_boundaries_locality_boundary,2272,Lynam,road_node_inside_locality,1491578,-19.2541925,146.4380630,3977.6
qld_locality_3683,Lyndhurst,QLD,Etheridge Shire,-19.2105159,144.3597133,0,locality_road_representative_point,3683,4246.092224,qld_admin_boundaries_locality_boundary,2273,Lyndhurst,road_node_inside_locality,72404,-19.2583487,144.3625354,5648.3
qld_locality_4983,Lyndside,QLD,Mareeba Shire,-16.8730182,143.4793951,0,locality_road_representative_point,4983,2829.712003,qld_admin_boundaries_locality_boundary,2155,Lyndside,road_node_inside_locality,346975,-16.9237430,143.5434074,9252.3
qld_locality_3993,Lynford,QLD,Lockyer Valley Regional,-27.4681704,152.4598049,0,locality_road_representative_point,3993,2.845619,qld_admin_boundaries_locality_boundary,2156,Lynford,road_node_inside_locality,1853051,-27.4747779,152.4488264,1476.8
qld_locality_3962,Lyons,QLD,Logan City,-27.7637484,152.8438809,0,locality_road_representative_point,3962,44.175391,qld_admin_boundaries_locality_boundary,2157,Lyons,road_node_inside_locality,1622450,-27.7740511,152.8552033,1807.9
qld_locality_5349,Lyra,QLD,Southern Downs Regional,-28.8306530,151.8633609,0,locality_road_representative_point,5349,12.754238,qld_admin_boundaries_locality_boundary,1945,Lyra,road_node_inside_locality,2320838,-28.8302028,151.8620609,155.6
qld_locality_1597,Lytton,QLD,Brisbane City,-27.4233983,153.1503962,0,locality_road_representative_point,1597,6.9332910000000005,qld_admin_boundaries_locality_boundary,1946,Lytton,road_node_inside_locality,3635364,-27.4234206,153.1501019,32.9
qld_locality_4633,Ma Ma Creek,QLD,Lockyer Valley Regional,-27.6229881,152.1739772,0,locality_road_representative_point,4633,23.511543000000003,qld_admin_boundaries_locality_boundary,1963,Ma Ma Creek,road_node_inside_locality,2370430,-27.6318262,152.1753655,1121.2
qld_locality_4816,Maadi,QLD,Cassowary Coast Regional,-17.8331181,145.9905112,0,locality_road_representative_point,4816,3.787797,qld_admin_boundaries_locality_boundary,2025,Maadi,road_node_inside_locality,251109,-17.8317070,145.9906113,165.4
qld_locality_4900,Maalan,QLD,Tablelands Regional,-17.6149757,145.6025557,0,locality_road_representative_point,4900,24.150295000000003,qld_admin_boundaries_locality_boundary,2026,Maalan,road_node_inside_locality,227354,-17.6065932,145.5969632,1160.2
qld_locality_1598,Maaroom,QLD,Fraser Coast Regional,-25.5709997,152.8637239,0,locality_road_representative_point,1598,14.096759,qld_admin_boundaries_locality_boundary,2027,Maaroom,road_node_inside_locality,2015209,-25.5885449,152.8626563,2168.6
qld_locality_5588,Mabuiag Island,QLD,Torres Strait Island Regional,-9.9571854,142.1864819,0,locality_road_representative_point,5588,6.27201,qld_admin_boundaries_locality_boundary,2028,Mabuiag Island,road_node_inside_locality,324392,-9.9576373,142.1795027,778.6
qld_locality_5446,Macalister,QLD,Western Downs Regional,-27.0385457,151.0718874,0,locality_road_representative_point,5446,327.372075,qld_admin_boundaries_locality_boundary,1993,Macalister,road_node_inside_locality,1690021,-27.0355016,151.0685706,530.2
qld_locality_5252,Macalister Range,QLD,Cairns Regional,-16.7392669,145.6616629,0,locality_road_representative_point,5252,25.517093,qld_admin_boundaries_locality_boundary,2029,Macalister Range,road_node_inside_locality,236993,-16.7753097,145.6550087,4255.2
qld_locality_5151,Macfarlane,QLD,Blackall Tambo Regional,-24.9033709,146.0325552,0,locality_road_representative_point,5151,531.599917,qld_admin_boundaries_locality_boundary,1672,Macfarlane,road_node_inside_locality,630469,-24.8816051,146.0126216,3472.6
qld_locality_1600,MacGregor,QLD,Brisbane City,-27.5625128,153.0724491,0,locality_road_representative_point,1600,2.737072,qld_admin_boundaries_locality_boundary,1673,MacGregor,road_node_inside_locality,3889452,-27.5632841,153.0725920,98.2
qld_locality_1601,Machans Beach,QLD,Cairns Regional,-16.8533329,145.7507430,0,locality_road_representative_point,1601,7.107462,qld_admin_boundaries_locality_boundary,1674,Machans Beach,road_node_inside_locality,287763,-16.8533967,145.7511411,44.9
qld_locality_5095,Machine Creek,QLD,Gladstone Regional,-23.8343221,150.9420752,0,locality_road_representative_point,5095,33.995664000000005,qld_admin_boundaries_locality_boundary,2041,Machine Creek,road_node_inside_locality,1395831,-23.8323349,150.9415991,247.6
qld_locality_1602,Mackay,QLD,Mackay Regional,-21.1427499,149.1857026,0,locality_road_representative_point,1602,4.374756,qld_admin_boundaries_locality_boundary,1676,Mackay,road_node_inside_locality,882041,-21.1426890,149.1855642,17.0
qld_locality_4735,Mackay Harbour,QLD,Mackay Regional,-21.1160102,149.2130989,0,locality_road_representative_point,4735,14.41521,qld_admin_boundaries_locality_boundary,1675,Mackay Harbour,road_node_inside_locality,897569,-21.1162895,149.2124663,77.9
qld_locality_1604,Mackenzie,QLD,Brisbane City,-27.5424635,153.1279897,0,locality_road_representative_point,1604,3.304342,qld_admin_boundaries_locality_boundary,1714,Mackenzie,road_node_inside_locality,3857064,-27.5418711,153.1280354,74.5
qld_locality_4995,Mackenzie,QLD,Central Highlands Regional,-23.1021979,149.4397983,0,locality_road_representative_point,4995,949.876314,qld_admin_boundaries_locality_boundary,1715,Mackenzie,road_node_inside_locality,1075405,-23.1317028,149.3886989,6716.5
qld_locality_4410,Mackenzie River,QLD,Isaac Regional,-23.1417111,148.8738968,0,locality_road_representative_point,4410,3391.9547879999996,qld_admin_boundaries_locality_boundary,1677,Mackenzie River,road_node_inside_locality,1052303,-23.1354004,148.7977828,8507.3
qld_locality_3201,Macknade,QLD,Hinchinbrook Shire,-18.5448780,146.2509807,0,locality_road_representative_point,3201,66.972255,qld_admin_boundaries_locality_boundary,1716,Macknade,road_node_inside_locality,1267032,-18.5431491,146.2565536,652.7
qld_locality_1607,Maclagan,QLD,Toowoomba Regional,-27.0536746,151.6787727,0,locality_road_representative_point,1607,76.405629,qld_admin_boundaries_locality_boundary,1717,Maclagan,road_node_inside_locality,1802259,-27.0569316,151.6809726,475.1
qld_locality_1610,Macleay Island,QLD,Redland City,-27.6052275,153.3587045,0,locality_road_representative_point,1610,15.355590999999999,qld_admin_boundaries_locality_boundary,1718,Macleay Island,road_node_inside_locality,3097366,-27.6047764,153.3578076,114.8
qld_locality_4278,Magnolia,QLD,Fraser Coast Regional,-25.6636805,152.6882364,0,locality_road_representative_point,4278,24.084253999999998,qld_admin_boundaries_locality_boundary,1786,Magnolia,road_node_inside_locality,1935114,-25.6629563,152.6891431,134.9
qld_locality_4593,Maidenhead,QLD,Goondiwindi Regional,-29.1072195,151.3963199,0,locality_road_representative_point,4593,79.057894,qld_admin_boundaries_locality_boundary,1787,Maidenhead,road_node_inside_locality,1704294,-29.1161570,151.3857883,1634.4
