place_id,name,place_type,state,lga,lat,lon,is_hub,nearest_node,snap_distance_m,hub_access_before,hub_access_impassable_only,hub_access_all_blocking,isolation_category,isolation_confidence,isolation_reason,nearby_blocking_closures_json
3115,Thargomindah,,QLD,,-27.9959679,143.8203995,False,720515,126.1,True,False,False,isolated_full_closures,high,"Place could reach a hub before closures, but cannot reach any hub after active impassable closures are blocked.","[{""closure_id"": ""qld.qldtraffic.5393f81f02ce8a92cbb0"", ""source_event_id"": ""812363"", ""distance_m"": 1419.1, ""category_norm"": ""road_closed"", ""passability_norm"": ""impassable"", ""status_norm"": ""active"", ""reason_norm"": ""flood"", ""title"": """", ""description"": ""Between Thargomindah and Cooper Dev Road | Road closed to all traffic"", ""road_name"": ""Bulloo Developmental Road / Bulloo Developmental Road (Cooper Developmental Road)"", ""locality"": ""Durham / Thargomindah"", ""restrictions_text"": ""Do not drive in flood waters"", ""raw_advice"": ""Do not drive in flood waters"", ""raw_event_type"": ""Flooding"", ""raw_event_subtype"": ""Long-term flooding"", ""raw_impact_type"": ""Closures"", ""raw_impact_subtype"": ""Road closed to all traffic"", ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/812363""}, {""closure_id"": ""qld.qldtraffic.8babf191f89b024968e6"", ""source_event_id"": ""808959"", ""distance_m"": 1466.7, ""category_norm"": ""road_closed"", ""passability_norm"": ""impassable"", ""status_norm"": ""active"", ""reason_norm"": ""unknown"", ""title"": """", ""description"": ""Avoid the area | Road closed to all traffic"", ""road_name"": ""Thargomindah Bypass"", ""locality"": ""Thargomindah"", ""restrictions_text"": ""Avoid the area"", ""raw_advice"": ""Avoid the area"", ""raw_event_type"": ""Hazard"", ""raw_event_subtype"": ""Road damage"", ""raw_impact_type"": ""Closures"", ""raw_impact_subtype"": ""Road closed to all traffic"", ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/808959""}, {""closure_id"": ""qld.qldtraffic.b9f3c5e22b1122c11139"", ""source_event_id"": ""811998"", ""distance_m"": 1968.2, ""category_norm"": ""road_closed"", ""passability_norm"": ""impassable"", ""status_norm"": ""active"", ""reason_norm"": ""unknown"", ""title"": """", ""description"": ""Avoid the area | Road closed to all traffic"", ""road_name"": ""Hungerford Eulo Road / Unnamed Road / Old Hungerford Road / Thargomindah Hungerford Road / Hungerford Road"", ""locality"": ""Hungerford / Thargomindah"", ""restrictions_text"": ""Avoid the area"", ""raw_advice"": ""Avoid the area"", ""raw_event_type"": ""Hazard"", ""raw_event_subtype"": ""Road damage"", ""raw_impact_type"": ""Closures"", ""raw_impact_subtype"": ""Road closed to all traffic"", ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/811998""}, {""closure_id"": ""qld.qldtraffic.370652658d091f8b5c59"", ""source_event_id"": ""809707"", ""distance_m"": 4897.7, ""category_norm"": ""road_closed"", ""passability_norm"": ""impassable"", ""status_norm"": ""active"", ""reason_norm"": ""unknown"", ""title"": """", ""description"": ""Avoid the area | Road closed to all traffic"", ""road_name"": ""Bulloo Downs Road / Bulloo Developmental Road / Tickalara Road"", ""locality"": ""Bulloo Downs / Cameron Corner / Thargomindah"", ""restrictions_text"": ""Avoid the area"", ""raw_advice"": ""Avoid the area"", ""raw_event_type"": ""Hazard"", ""raw_event_subtype"": ""Road damage"", ""raw_impact_type"": ""Closures"", ""raw_impact_subtype"": ""Road closed to all traffic"", ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/809707""}, {""closure_id"": ""qld.qldtraffic.4f0f123998718097afdd"", ""source_event_id"": ""809705"", ""distance_m"": 9326.7, ""category_norm"": ""road_closed"", ""passability_norm"": ""impassable"", ""status_norm"": ""active"", ""reason_norm"": ""unknown"", ""title"": """", ""description"": ""Avoid the area | Road closed to all traffic"", ""road_name"": ""Soonah Crossing Road"", ""locality"": ""Quilpie / Thargomindah"", ""restrictions_text"": ""Avoid the area"", ""raw_advice"": ""Avoid the area"", ""raw_event_type"": ""Hazard"", ""raw_event_subtype"": ""Road damage"", ""raw_impact_type"": ""Closures"", ""raw_impact_subtype"": ""Road closed to all traffic"", ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/809705""}]"
3129,The Summit,,Qld,,-28.5742444,151.9481983,False,2286092,95.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3146,Tiaro,,QLD,,-25.7273224,152.5828397,False,1934586,80.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3168,Toowong,,Qld,,-27.4857407,152.9915943,False,3140262,16.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3169,Toowoomba,,QLD,,-27.5610193,151.953351,True,2625531,6.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3177,Townsville,,QLD,,-19.2569391,146.8239537,True,1478544,41.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3194,Tully,,QLD,,-17.9329498,145.9272624,False,249205,41.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3228,Upper Mount Gravatt,,QLD,,-27.5589562,153.0815491,False,3793350,67.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3336,Warwick,,QLD,,-28.2163204,152.0327039,False,2379315,11.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3465,Winton,,QLD,,-22.3845163,143.0364812,False,528761,117.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3500,Woodford,,QLD,,-26.9548098,152.7783116,False,1986129,16.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3564,Yarraman,,QLD,,-26.8408295,151.9828356,False,1834691,55.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3574,Yelarbon,,QLD,,-28.572247,150.7529041,False,1672940,22.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3587,Yungaburra,,QLD,,-17.2699604,145.583273,False,221339,26.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3590,Howitt,,QLD,,-17.4580526,141.1858111,False,28735,43.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3590,Kajabbi,,QLD,,-20.03459109,140.0286343,False,28735,43.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
3590,Doomadgee,,QLD,,-17.94325134,138.8310765,False,28735,43.5,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
